index,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,Class
10,75,62,62,0.9597989949748744,0.0,0.453125,0.5,0,12,50,0,52,10,11,64,102,38,34,173,0.2939481268011527,0.1095100864553314,0.0979827089337175,0.4985590778097983,347,3207.6875,56.63645027718457,15.0,158.0,6.0,19.0,13.0,19.0,10.0,5.0,1.2105263157894737,1.1470588235294117,1.369942196531792,0.9019607843137256,627,89,0.1419457735247209,0.1243016759776536,91,32,13,14,477,60,7,5,0,17,408,104,104,0.0,0.1935483870967742,0.8064516129032258,0.0,0.8387096774193549,0.1612903225806451,0.8533333333333334,0.0867052023121387,0.9132947976878611,0.5588235294117647,0.2941176470588235,0.1470588235294117,0.1578947368421052,0.5,0.3421052631578947,0.1451355661881977,0.0510366826156299,0.0207336523125996,0.0223285486443381,0.7607655502392344,0.6741573033707865,0.0786516853932584,0.0561797752808988,0.0,0.191011235955056,0.6623376623376623,0.1688311688311688,0.1688311688311688,477,29,17,20,107,13,62,0,1.9474,0.9,30,16,0,1,4,3,0,0,1,12,6,1,1,4,398,1579,1181,0.3370025402201519,477,1500,1023,0.4662756598240471,3,4,2,2,2,1,1,2,3,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,6,1,2,2,1,2,2,2,2,6,2,1,1,2,0.0
11,56,18,264,0.6094674556213018,0.0887573964497041,0.4929577464788733,0.0638297872340425,0,29,235,1,8,9,17,39,49,146,99,34,0.149390243902439,0.4451219512195122,0.3018292682926829,0.1036585365853658,328,1944.5,44.09648512069868,29.0,5.0,76.0,19.0,51.0,43.0,20.0,36.0,1.8698630136986296,1.5151515151515151,1.1176470588235294,0.5918367346938775,526,166,0.3155893536121673,0.2398843930635838,251,88,42,31,114,142,9,0,3,12,123,119,276,0.0,0.1098484848484848,0.8901515151515151,0.0555555555555555,0.4444444444444444,0.5,0.6964285714285714,0.8529411764705882,0.1470588235294117,0.4343434343434344,0.202020202020202,0.3636363636363637,0.5205479452054794,0.1301369863013698,0.3493150684931507,0.4771863117870722,0.1673003802281368,0.0798479087452471,0.05893536121673,0.2167300380228136,0.8554216867469879,0.0542168674698795,0.0,0.0180722891566265,0.072289156626506,0.2374517374517374,0.2297297297297297,0.5328185328185329,115,41,12,21,253,8,121,0,3.7794,0.96,11,6,3,9,4,0,0,3,1,9,1,3,5,0,450,2007,1557,0.2890173410404619,923,1534,611,1.51063829787234,4,2,3,5,2,5,4,9,4,8,23,22,5,11,5,3,3,5,5,5,3,3,5,4,6,4,3,4,3,4,3,5,5,6,5,3,3,5,0.0
12,55,28,284,0.7411444141689373,0.0381471389645776,0.4938271604938271,0.0897435897435897,1,37,246,4,5,19,16,39,18,46,57,73,0.0927835051546391,0.2371134020618557,0.2938144329896907,0.3762886597938144,194,402.25,20.05617112013158,70.0,3.0,9.0,6.0,31.0,28.0,11.0,18.0,0.8478260869565217,1.0526315789473684,1.5342465753424657,0.6666666666666666,313,204,0.6517571884984026,0.3945841392649903,144,67,14,17,71,176,10,0,3,15,74,68,164,0.0035211267605633,0.130281690140845,0.8661971830985915,0.1428571428571428,0.1785714285714285,0.6785714285714286,0.7090909090909091,0.9589041095890408,0.0410958904109589,0.4912280701754386,0.1929824561403508,0.3157894736842105,0.1956521739130435,0.1304347826086956,0.6739130434782609,0.4600638977635783,0.2140575079872204,0.0447284345047923,0.0543130990415335,0.2268370607028754,0.8627450980392157,0.0490196078431372,0.0,0.0147058823529411,0.0735294117647058,0.2418300653594771,0.2222222222222222,0.5359477124183006,75,53,16,17,250,7,119,0,3.3803,0.83,4,6,0,1,1,0,0,0,1,5,1,0,0,4,266,1209,943,0.2820784729586429,501,974,473,1.05919661733615,3,3,4,4,3,3,2,9,3,5,3,4,11,4,4,2,2,4,4,4,2,2,5,3,3,3,3,3,2,3,4,4,6,3,3,2,4,3,0.0
13,98,121,51,1.0,0.0,0.4326530612244898,0.7034883720930233,1,4,46,2,65,54,10,88,105,125,36,45,0.337620578778135,0.4019292604501608,0.1157556270096463,0.1446945337620578,311,1447.6875,38.04848880047669,27.0,18.0,52.0,57.0,16.0,16.0,18.0,2.0,2.12,1.0,1.4222222222222225,0.7714285714285715,1229,278,0.22620016273393,0.1844724618447246,293,98,36,41,761,222,16,5,7,28,665,161,331,0.0196078431372549,0.0784313725490196,0.9019607843137256,0.0165289256198347,0.5371900826446281,0.4462809917355372,0.8979591836734694,0.6,0.4,0.4444444444444444,0.5,0.0555555555555555,0.416,0.456,0.128,0.2384052074857608,0.0797396257119609,0.0292921074043938,0.033360455655004,0.6192026037428804,0.7985611510791367,0.0575539568345323,0.0179856115107913,0.0251798561151079,0.1007194244604316,0.57476231633535,0.139152981849611,0.2860847018150389,763,33,29,19,149,15,107,1,1.8158,0.86,23,17,0,0,2,1,0,1,0,11,5,0,4,2,795,2424,1629,0.488029465930018,703,2516,1813,0.387755102040816,2,1,2,3,2,1,1,2,2,2,2,3,2,3,2,2,1,3,2,1,1,2,2,2,3,2,3,2,1,2,2,3,2,3,2,1,1,2,1.0
14,79,63,61,0.8965517241379308,0.0147783251231527,0.4888888888888889,0.5080645161290323,0,2,59,0,54,9,6,73,34,43,36,44,0.2165605095541401,0.2738853503184713,0.2292993630573248,0.2802547770700637,157,18.6875,4.322904116447647,41.0,3.0,12.0,6.0,25.0,8.0,17.0,11.0,1.6511627906976745,1.8888888888888888,2.4318181818181817,0.7941176470588235,266,234,0.8796992481203008,0.4679999999999999,124,75,12,15,40,207,14,2,1,10,44,43,174,0.0,0.0327868852459016,0.9672131147540984,0.0,0.8571428571428571,0.1428571428571428,0.9240506329113924,0.9318181818181818,0.0681818181818181,0.2222222222222222,0.4722222222222222,0.3055555555555556,0.2790697674418605,0.1395348837209302,0.5813953488372093,0.4661654135338346,0.2819548872180451,0.0451127819548872,0.056390977443609,0.150375939849624,0.8846153846153846,0.0598290598290598,0.0085470085470085,0.0042735042735042,0.0427350427350427,0.1685823754789272,0.1647509578544061,0.6666666666666666,40,12,10,10,124,8,73,0,1.889,0.93,6,2,2,9,2,0,0,1,1,6,1,3,2,0,211,899,688,0.306686046511628,380,730,350,1.08571428571429,2,3,2,2,2,1,1,2,2,3,2,7,2,6,3,1,2,26,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1.0
15,35,12,17,0.984375,0.0,0.5873015873015873,0.4137931034482759,0,3,14,0,8,4,4,31,14,8,7,3,0.4375,0.25,0.21875,0.09375,32,15.5,3.9370039370059056,3.0,0.0,3.0,2.0,3.0,1.0,2.0,4.0,1.125,1.8571428571428568,0.6666666666666666,0.8571428571428571,186,180,0.967741935483871,0.4918032786885246,77,65,6,8,30,161,7,1,3,8,22,42,121,0.0,0.1764705882352941,0.8235294117647058,0.0,0.6666666666666666,0.3333333333333333,0.8857142857142857,1.0,0.0,0.1428571428571428,0.2857142857142857,0.5714285714285714,0.375,0.25,0.375,0.4139784946236559,0.3494623655913979,0.032258064516129,0.043010752688172,0.1612903225806451,0.8944444444444445,0.0388888888888888,0.0055555555555555,0.0166666666666666,0.0444444444444444,0.1189189189189189,0.227027027027027,0.6540540540540539,30,11,8,7,23,4,11,0,2.0624,0.88,5,4,0,0,0,0,0,0,0,2,1,1,0,0,142,545,403,0.352357320099256,257,430,173,1.48554913294798,2,2,2,3,2,1,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,3,1,2,1,2,1,2,1,3,3,3,2,2,2,2,2,0.0
16,130,58,363,0.8874773139745916,0.0,0.5199240986717267,0.1377672209026128,0,17,346,1,32,25,15,115,112,102,57,171,0.253393665158371,0.2307692307692308,0.1289592760180995,0.3868778280542986,442,1649.25,40.61095911204264,143.0,28.0,56.0,11.0,35.0,14.0,23.0,20.0,1.6470588235294117,1.2456140350877194,1.263157894736842,0.9910714285714286,404,284,0.7029702970297029,0.4127906976744186,168,78,30,23,105,239,19,4,4,18,88,93,215,0.0,0.046831955922865,0.9531680440771352,0.0172413793103448,0.5517241379310345,0.4310344827586207,0.8846153846153846,0.8362573099415205,0.1637426900584795,0.2456140350877193,0.4035087719298245,0.3508771929824561,0.5490196078431373,0.1078431372549019,0.3431372549019608,0.4158415841584158,0.193069306930693,0.0742574257425742,0.0569306930693069,0.2599009900990099,0.8415492957746479,0.0669014084507042,0.0140845070422535,0.0140845070422535,0.0633802816901408,0.2222222222222222,0.2348484848484849,0.5429292929292929,106,35,18,17,403,8,232,0,2.5879,0.83,7,10,1,8,8,2,1,1,4,18,4,3,3,8,382,1467,1085,0.352073732718894,544,1305,761,0.7148488830486199,3,2,3,3,2,2,2,4,3,3,4,3,3,3,3,3,3,3,2,2,2,3,4,3,3,2,3,1,2,3,3,3,4,3,2,1,1,3,1.0
17,89,71,65,0.9688888888888888,0.0044444444444444,0.4736842105263158,0.5220588235294118,0,1,64,1,51,19,9,80,38,39,29,46,0.25,0.2565789473684211,0.1907894736842105,0.3026315789473684,152,36.5,6.041522986797286,43.0,3.0,22.0,11.0,6.0,4.0,15.0,10.0,1.358974358974359,1.4827586206896552,1.565217391304348,1.0,374,253,0.6764705882352942,0.4035087719298245,159,69,19,18,109,215,10,3,4,21,96,71,187,0.0,0.0153846153846153,0.9846153846153848,0.0140845070422535,0.7183098591549296,0.2676056338028169,0.8988764044943821,0.9347826086956522,0.0652173913043478,0.1379310344827586,0.5172413793103449,0.3448275862068966,0.5641025641025641,0.282051282051282,0.1538461538461538,0.4251336898395721,0.1844919786096256,0.0508021390374331,0.0481283422459893,0.2914438502673797,0.8498023715415021,0.0395256916996047,0.0118577075098814,0.0158102766798418,0.0830039525691699,0.2711864406779661,0.2005649717514124,0.5282485875706214,110,22,21,20,132,16,82,1,1.6468,0.89,12,9,0,9,1,1,0,0,0,5,0,2,2,1,309,1266,957,0.322884012539185,449,1126,677,0.663220088626292,2,2,1,2,1,1,1,2,2,4,2,2,7,2,3,1,1,2,2,2,1,1,2,2,2,3,2,1,1,2,2,2,2,2,1,1,1,1,
18,40,14,147,0.7711442786069652,0.0049751243781094,0.4761904761904762,0.0869565217391304,0,9,138,1,7,6,7,33,138,150,57,16,0.3822714681440443,0.4155124653739612,0.1578947368421052,0.0443213296398892,361,3117.1875,55.83177858531822,9.0,7.0,75.0,49.0,26.0,22.0,33.0,2.0,1.6666666666666667,1.7719298245614037,1.0625,0.8260869565217391,1591,158,0.0993086109365179,0.0903373356203545,305,44,24,27,1191,104,13,0,6,35,1070,183,258,0.0,0.0612244897959183,0.9387755102040816,0.0714285714285714,0.5,0.4285714285714285,0.825,0.5625,0.4375,0.3859649122807017,0.5789473684210527,0.0350877192982456,0.5,0.3266666666666666,0.1733333333333333,0.1917033312382148,0.0276555625392834,0.0150848522941546,0.0169704588309239,0.7485857950974231,0.6582278481012658,0.0822784810126582,0.0,0.0379746835443038,0.2215189873417721,0.7081403044341495,0.1211118464592984,0.1707478491065519,1192,44,35,22,126,13,61,0,3.1263,0.94,33,11,0,10,4,2,0,2,0,9,4,1,4,0,982,3336,2354,0.417162276975361,880,3438,2558,0.3440187646598909,4,2,5,3,2,3,3,5,3,3,3,3,5,3,3,2,1,2,2,3,2,4,3,3,5,3,5,3,2,3,4,3,3,4,2,2,2,2,1.0
19,13,7,566,0.2576791808873719,0.0546075085324232,0.5780487804878048,0.0122164048865619,0,55,511,0,3,4,9,4,126,138,68,403,0.1714285714285714,0.1877551020408164,0.092517006802721,0.5482993197278911,735,16724.1875,129.32203021913938,161.0,242.0,42.0,50.0,46.0,39.0,18.0,11.0,1.5144927536231885,1.3823529411764706,1.5384615384615383,1.4285714285714286,1045,224,0.214354066985646,0.1765169424743893,239,65,22,21,698,197,8,3,5,11,595,147,256,0.0,0.097173144876325,0.9028268551236748,0.0,0.4285714285714285,0.5714285714285714,0.3076923076923077,0.3995037220843672,0.6004962779156328,0.5735294117647058,0.2647058823529412,0.1617647058823529,0.3043478260869565,0.3623188405797101,0.3333333333333333,0.2287081339712918,0.062200956937799,0.0210526315789473,0.0200956937799043,0.6679425837320574,0.8794642857142857,0.0357142857142857,0.0133928571428571,0.0223214285714285,0.0491071428571428,0.5961923847695391,0.1472945891783567,0.2565130260521042,698,66,11,30,441,9,142,0,5.3019,0.56,36,13,0,4,10,3,2,1,4,20,4,2,2,12,804,2382,1578,0.509505703422053,623,2563,1940,0.321134020618557,5,7,4,8,5,4,3,6,7,6,5,5,6,7,7,3,3,7,3,6,5,7,6,6,9,6,8,8,3,5,5,3,6,6,5,3,5,5,1.0
